year,brand,ad_url,ad_time,category,gender,diversity
2018,Budweiser,https://superbowl-ads.com/41891-2/,60,beer,both,FALSE
2018,Bud Light,https://superbowl-ads.com/bud-light-the-bud-knight/,60,beer,both,FALSE
2004,Bud Light,https://superbowl-ads.com/2004-bud-light-sleigh-ride/,30,beer,both,FALSE
2002,Budweiser,https://superbowl-ads.com/2002-budweiser-anniversary-card/,30,beer,both,FALSE
2006,Budweiser,https://superbowl-ads.com/2006-budweiser-stadium-crowd-wave/,30,beer,both,TRUE
2014,Bud Light,https://superbowl-ads.com/2014-bud-light-up-for-whatever-2/,60,beer,both,TRUE
2009,Coca-Cola,https://superbowl-ads.com/2009-coca-cola-avatar/,60,pop,both,TRUE
2014,Bud Light,https://superbowl-ads.com/2014-bud-light-up-for-whatever-1/,30,beer,both,TRUE
2003,Bud Light,https://superbowl-ads.com/2003-bud-light-third-arm/,30,beer,both,TRUE
2014,Toyota,https://superbowl-ads.com/2014-toyota-highlander-no-room-for-boring/,30,car,male,TRUE
2009,Bud Light,https://superbowl-ads.com/2009-bud-light-skier/,30,beer,male,FALSE
2014,Kia,https://superbowl-ads.com/2014-kia-the-truth/,90,car,both,TRUE
2014,Hynudai,https://superbowl-ads.com/2014-hyundai-elantra-nice/,60,car,both,TRUE
2013,Bud Light,https://superbowl-ads.com/video-bud-light-2013-super-bowl-xlvii-commercial-lucky-chair/,30,beer,both,FALSE
2008,Bud Light,https://superbowl-ads.com/2008-bud-light-wheel-suck/,30,beer,male,TRUE
2003,Budweiser,https://superbowl-ads.com/2003-budweiser-great-listener/,30,beer,male,FALSE
2013,Bud Light,https://superbowl-ads.com/video-bud-light-2013-super-bowl-xlvii-ad-journey/,60,beer,both,FALSE
2011,Doritos,https://superbowl-ads.com/2011-doritos-pug-attack/,30,snack,female,FALSE
2005,Bud Light,https://superbowl-ads.com/2005-bud-light-skydiver/,15,beer,male,FALSE
2005,Budweiser,https://superbowl-ads.com/2005-budweiser-tryouts/,45,beer,both,TRUE
2014,Doritos,https://superbowl-ads.com/2014-doritos-time-machine/,30,snack,both,FALSE
2008,Bud Light,https://superbowl-ads.com/2008-bud-light-wine-cheese-party/,45,beer,both,FALSE
2012,Pepsi,https://superbowl-ads.com/2012-pepsi-kings-court/,30,pop,both,FALSE
2012,Doritos,https://superbowl-ads.com/2012-doritos-mans-best-friend/,30,snack,male,TRUE
2012,Toyota,https://superbowl-ads.com/2012-toyota-camry-its-reinvented/,100,car,female,TRUE
2016,Doritos,https://superbowl-ads.com/doritos-2016-super-bowl-50-ad-ultrasound/,30,snack,both,TRUE
2002,Bud Light,https://superbowl-ads.com/2002-bud-light-falcon/,30,beer,both,FALSE
2002,Bud Light,https://superbowl-ads.com/2002-bud-light-robobash/,45,beer,male,FALSE
2013,E-Trade,https://superbowl-ads.com/video-etrade-baby-2013-super-bowl-xlvii-commercial-save-it/,30,finance,both,FALSE
2008,Bud Light,https://superbowl-ads.com/2008-bud-light-breathe-fire/,30,beer,male,FALSE
2012,Coca-Cola,https://superbowl-ads.com/2012-coca-cola-arghh-ny-bear/,30,pop,female,FALSE
2004,Pepsi,https://superbowl-ads.com/2004-pepsi-jimi-hendrix/,30,pop,male,TRUE
2010,Doritos,https://superbowl-ads.com/hd-exclusive-dog-shock-collar-doritos-commercial-super-bowl-44-2010-super-bowl-xliv/,30,snack,both,FALSE
2012,Kia,https://superbowl-ads.com/2012-kia-optima-drive-the-dream-extended-version/,75,car,female,TRUE
2012,NFL,https://superbowl-ads.com/2012-nfl-timeline/,120,NFL,both,TRUE
2005,Bud Light,https://superbowl-ads.com/2005-bud-light-sharon/,30,beer,female,FALSE
2010,Hynudai,https://superbowl-ads.com/hd-exclusive-2010-super-bowl-xliv-commercial-with-brett-favre-hyundai-commercial/,100,car,both,FALSE
2004,Bud Light,https://superbowl-ads.com/2004-bud-light-paintball/,30,beer,female,FALSE
2008,Bud Light,https://superbowl-ads.com/2008-bud-light-x-ray-vision/,15,beer,male,FALSE
2016,Toyota,https://superbowl-ads.com/pokemon-2016-super-bowl-50-ad-20-years-2/,60,car,female,FALSE
2006,Bud Light,https://superbowl-ads.com/2006-bud-light-magic-fridge/,15,beer,both,TRUE
2007,Coca-Cola,https://superbowl-ads.com/2007-coca-cola-happiness-factory/,30,pop,both,TRUE
2007,Budweiser,https://superbowl-ads.com/2007-budweiser-dalmatian/,45,beer,female,FALSE
2013,Doritos,https://superbowl-ads.com/video-doritos-2013-super-bowl-xlvii-ad-fashionista-daddy/,15,snack,male,FALSE
2010,Bud Light,https://superbowl-ads.com/hd-exclusive-bud-light-auto-tune-t-pain-2010-superbowl-44-xliv-commercial-ad/,60,beer,both,TRUE
2009,Doritos,https://superbowl-ads.com/2009-doritos-power-of-the-crunch/,30,snack,both,TRUE
2009,Coca-Cola,https://superbowl-ads.com/2009-coke-zero-mean-troy/,30,pop,both,FALSE
2009,Pepsi,https://superbowl-ads.com/2009-pepsi-anthem/,30,pop,both,FALSE
